PRFA,Prairie Falcon
PEFA,Peregrine Falcon
MERL,Merlin
APFA,Aplomado Falcon
EUKE,Eurasian Kestrel
AMKE,American Kestrel
CRCA,Crested Caracara
ACCA,Audubons Crested Caracara
OSPR,Osprey
BNOW,Barn Owl
AFOW,Ashy-faced Owl
LEOW,Long-eared Owl
SEOW,Short-eared Owl
BDOW,Barred Owl
SBOH,Spotted X Barred Owl Hybrid
SPOW,Spotted Owl
CSOW,California Spotted Owl
NSOW,Northern Spotted Owl
MSOW,Mexican Spotted Owl
GGOW,Great Gray Owl
BOOW,Boreal Owl
NSWO,Northern Saw-whet Owl
EASO,Eastern Screech-Owl
WHSO,Whiskered Screech-Owl
WESO,Western Screech-Owl
PURO,Puerto Rican Owl
FLOW,Flammulated Owl
GHOW,Great Horned Owl
SNOW,Snowy Owl
NHOW,Northern Hawk Owl
BUOW,Burrowing Owl
NOPO,Northern Pygmy-Owl
FEPO,Ferruginous Pygmy-Owl
ELOW,Elf Owl
NAPA,Nanday Parakeet
HPKT,Hispaniolan Parakeet
OFPA,Orange-fronted Parakeet
BTPA,Brown-throated Parakeet
BCLO,Blue-crowned Lorikeet
GREP,Green Parakeet
MIPA,Mitred Parakeet
WWPA,White-winged Parakeet
YCPA,Yellow-chevroned Parakeet
TBPA,Thick-billed Parrot
RRPA,Rose-ringed Parakeet
RFLO,Rosy-faced Lovebird
MOPA,Monk Parakeet
RMPA,Red-masked Parakeet
RCPA,Red-crowned Parrot
HPRT,Hispaniolan Parrot
PRPA,Puerto Rican Parrot
OWAM,Orange-winged Amazon
SBAN,Smooth-billed Ani
GBAN,Groove-billed Ani
GRRO,Greater Roadrunner
PRLC,Puerto Rican Lizard-Cuckoo
MACU,Mangrove Cuckoo
YBCU,Yellow-billed Cuckoo
WYBC,Western Yellow-billed Cuckoo
BBCU,Black-billed Cuckoo
ELTR,Elegant Trogon
EAQU,Eared Quetzal
BEKI,Belted Kingfisher
RIKI,Ringed Kingfisher
GKIN,Green Kingfisher
PRTO,Puerto Rican Tody
IBWO,Ivory-billed Woodpecker
HAWO,Hairy Woodpecker
DOWO,Downy Woodpecker
RCWO,Red-cockaded Woodpecker
LBWO,Ladder-backed Woodpecker
NUWO,Nuttalls Woodpecker
ARWO,Arizona Woodpecker
WHWO,White-headed Woodpecker
BBWO,Black-backed Woodpecker
ATTW,American Three-toed Woodpecker
YBSA,Yellow-bellied Sapsucker
RNSA,Red-naped Sapsucker
HYSA,Hybrid Sapsucker
UNSA,Unidentified Sapsucker
RBSA,Red-breasted Sapsucker
WISA,Williamsons Sapsucker
PIWO,Pileated Woodpecker
RHWO,Red-headed Woodpecker
ACWO,Acorn Woodpecker
PRWO,Puerto Rican Woodpecker
LEWO,Lewiss Woodpecker
RBWO,Red-bellied Woodpecker
WIWO,West Indian Woodpecker
GFWO,Golden-fronted Woodpecker
GIWO,Gila Woodpecker
YSFL,Yellow-shafted Flicker
FLIN,Flicker Intergrade
UNFL,Unspecified Northern Flicker
RSFL,Red-shafted Flicker
GIFL,Gilded Flicker
CWWI,Chuck-wills-widow
BCNI,Buff-collared Nightjar
EWPW,Eastern Whip-poor-will
PRNI,Puerto Rican Nightjar
MWPW,Mexican Whip-poor-will
COPO,Common Poorwill
COPA,Common Pauraque
CONI,Common Nighthawk
ANNI,Antillean Nighthawk
LENI,Lesser Nighthawk
BLSW,Black Swift
CHSW,Chimney Swift
STSW,Short-tailed Swift
VASW,Vauxs Swift
WTSW,White-throated Swift
RIHU,Rivolis Hummingbird
PCST,Plain-capped Starthroat
BTMG,Blue-throated Mountain-gem
MEVI,Mexican Violetear
RTHU,Ruby-throated Hummingbird
BCHU,Black-chinned Hummingbird
COHU,Costas Hummingbird
ANHU,Annas Hummingbird
BTHU,Broad-tailed Hummingbird
RUHU,Rufous Hummingbird
UNSE,Unidentified Selasphorus Hummingbird
ALHU,Allens Hummingbird
BUHU,Bumblebee Hummingbird
CAHU,Calliope Hummingbird
JAMA,Jamaican Mango
GRMA,Green Mango
GTCA,Green-throated Carib
ACHU,Antillean Crested Hummingbird
GREM,Green-breasted Mango
LUHU,Lucifer Hummingbird
BAWO,Bahama Woodstar
RUFH,Rufous-tailed Hummingbird
BEHU,Berylline Hummingbird
BUFH,Buff-bellied Hummingbird
VCHU,Violet-crowned Hummingbird
WEHU,White-eared Hummingbird
PREM,Puerto Rican Emerald
HYHU,Hybrid Hummingbird
UNHU,Unidentified Hummingbird
BBLH,Broad-billed Hummingbird
RTBE,Rose-throated Becard
FTFL,Fork-tailed Flycatcher
STFL,Scissor-tailed Flycatcher
EAKI,Eastern Kingbird
GRAK,Gray Kingbird
TBKI,Thick-billed Kingbird
LOKI,Loggerhead Kingbird
TRKI,Tropical Kingbird
COKI,Couchs Kingbird
WEKI,Western Kingbird
CAKI,Cassins Kingbird
GKIS,Great Kiskadee
SBFL,Sulphur-bellied Flycatcher
GCFL,Great Crested Flycatcher
BCFL,Brown-crested Flycatcher
NUFL,Nuttings Flycatcher
ATFL,Ash-throated Flycatcher
DCFL,Dusky-capped Flycatcher
LSFL,La Sagras Flycatcher
PRFL,Puerto Rican Flycatcher
STOF,Stolid Flycatcher
LESF,Lesser Antillean Flycatcher
EAPH,Eastern Phoebe
SAPH,Says Phoebe
BLPH,Black Phoebe
OSFL,Olive-sided Flycatcher
GRPE,Greater Pewee
EAWP,Eastern Wood-Pewee
WEWP,Western Wood-Pewee
CUPE,Cuban Pewee
LAPE,Lesser Antillean Pewee
JAPE,Jamaican Pewee
HIPE,Hispaniolan Pewee
YBFL,Yellow-bellied Flycatcher
COFL,Cordilleran Flycatcher
PSFL,Pacific-slope Flycatcher
WEFL,Western Flycatcher
ACFL,Acadian Flycatcher
WIFL,Willow Flycatcher
ALFL,Alder Flycatcher
SWFL,Southwestern Willow Flycatcher
TRFL,Traills Flycatcher
LEFL,Least Flycatcher
UNEM,Unidentified Empidonax
HAFL,Hammonds Flycatcher
DUFL,Dusky Flycatcher
GRFL,Gray Flycatcher
BBFL,Buff-breasted Flycatcher
VEFL,Vermilion Flycatcher
GREL,Greenish Elaenia
NBTY,Northern Beardless-Tyrannulet
CAEL,Caribbean Elaenia
SBEL,Small-billed Elaenia
EUSK,Eurasian Skylark
HOLA,Horned Lark
SHLA,Streaked Horned Lark
BBMA,Black-billed Magpie
YBMA,Yellow-billed Magpie
BLJA,Blue Jay
STJA,Stellers Jay
FLSJ,Florida Scrub-Jay
UWSJ,Unspecified Western Scrub-Jay
ISSJ,Island Scrub-Jay
WOSJ,Woodhouses Scrub-Jay
CASJ,California Scrub-Jay
MEJA,Mexican Jay
GRJA,Green Jay
BRJA,Brown Jay
CAJA,Canada Jay
CORA,Common Raven
CHRA,Chihuahuan Raven
WNCR,White-necked Crow
AMCR,American Crow
NOCR,Northwestern Crow
TACR,Tamaulipas Crow
HCRO,Hawaiian Crow
FICR,Fish Crow
CLNU,Clarks Nutcracker
PIJA,Pinyon Jay
EUST,European Starling
CRMY,Crested Myna
COMY,Common Myna
JAMY,Javan Myna
HIMY,Hill Myna
JUMY,Jungle Myna
BOBO,Bobolink
BHCO,Brown-headed Cowbird
BROC,Bronzed Cowbird
SHCO,Shiny Cowbird
YHBL,Yellow-headed Blackbird
RWBL,Red-winged Blackbird
TRBL,Tricolored Blackbird
TSBL,Tawny-shouldered Blackbird
YSBL,Yellow-shouldered Blackbird
EAME,Eastern Meadowlark
WEME,Western Meadowlark
EWME,Eastern-Western Meadowlark
CHME,Chihuahuan Meadowlark
AUOR,Audubons Oriole
ALOR,Altamira Oriole
SPOO,Spot-breasted Oriole
SCOR,Scotts Oriole
BVOR,Black-vented Oriole
BCOR,Black-cowled Oriole
CUOR,Cuban Oriole
BAHO,Bahama Oriole
PROR,Puerto Rican Oriole
HIOR,Hispaniolan Oriole
HOOR,Hooded Oriole
STRO,Streak-backed Oriole
OROR,Orchard Oriole
BAOR,Baltimore Oriole
BBOH,Baltimore X Bullocks Oriole Hybrid
BUOR,Bullocks Oriole
RUBL,Rusty Blackbird
BRBL,Brewers Blackbird
COGR,Common Grackle
GTGR,Great-tailed Grackle
BTGR,Boat-tailed Grackle
GAGR,Greater Antillean Grackle
EVGR,Evening Grosbeak
BRAM,Brambling
HAWF,Hawfinch
COCH,Common Chaffinch
PIGR,Pine Grosbeak
EUBU,Eurasian Bullfinch
CORO,Common Rosefinch
PUFI,Purple Finch
CAFI,Cassins Finch
HOFI,House Finch
RECR,Red Crossbill
CACR,Cassia Crossbill
WWCR,White-winged Crossbill
GCRF,Gray-crowned Rosy-Finch
BLRF,Black Rosy-Finch
BCRF,Brown-capped Rosy-Finch
EUGO,European Goldfinch
ORGR,Oriental Greenfinch
HORE,Hoary Redpoll
UNRE,Unidentified Common-Hoary Redpoll
CORE,Common Redpoll
AMGO,American Goldfinch
LEGO,Lesser Goldfinch
LAGO,Lawrences Goldfinch
RESI,Red Siskin
PISI,Pine Siskin
COCA,Common Canary
YFCA,Yellow-fronted Canary
SNBU,Snow Bunting
MKBU,McKays Bunting
RUBU,Rustic Bunting
LIBU,Little Bunting
GRBU,Gray Bunting
PALB,Pallass Bunting
REBU,Reed Bunting
LALO,Lapland Longspur
SMLO,Smiths Longspur
CCLO,Chestnut-collared Longspur
TBLO,Thick-billed Longspur
VESP,Vesper Sparrow
IPSP,Ipswich Sparrow
SAVS,Savannah Sparrow
BSSP,Beldings Savannah Sparrow
LBSP,Large-billed Sparrow
BAIS,Bairds Sparrow
GRSP,Grasshopper Sparrow
FGSP,Florida Grasshopper Sparrow
HESP,Henslows Sparrow
LCSP,LeContes Sparrow
SALS,Saltmarsh Sparrow
NESP,Nelsons Sparrow
STSP,Unidentified Sharp-tailed Sparrow
SESP,Seaside Sparrow
DSSP,Dusky Seaside Sparrow
CSSS,Cape Sable Seaside Sparrow
LASP,Lark Sparrow
HASP,Harriss Sparrow
UWCS,Unspecified White-crowned Sparrow
EWCS,Eastern White-crowned Sparrow
MWCS,Mountain White-crowned Sparrow
PSWS,Puget Sound White-crowned Sparrow
GWCS,Gambels White-crowned Sparrow
NWCS,Nuttalls White-crowned Sparrow
GCSP,Golden-crowned Sparrow
WTSP,White-throated Sparrow
RUFS,Rufous-collared Sparrow
ZSHY,Zonotrichia Sparrow Hybrid
ATSP,American Tree Sparrow
CHSP,Chipping Sparrow
CCSP,Clay-colored Sparrow
BRSP,Brewers Sparrow
FISP,Field Sparrow
WOSP,Worthens Sparrow
BCSP,Black-chinned Sparrow
WWJU,White-winged Junco
SCJU,Slate-colored Junco
ORJU,Oregon Junco
UDEJ,Unspecified Dark-eyed Junco
GHJU,Gray-headed Junco
YEJU,Yellow-eyed Junco
BTSP,Black-throated Sparrow
USSP,Unidentified Sage Sparrow
SCBS,San Clemente Bells Sparrow
FSSP,Five-striped Sparrow
SBSP,Sagebrush Sparrow
BESP,Bells Sparrow
BACS,Bachmans Sparrow
BOSP,Botteris Sparrow
CASP,Cassins Sparrow
RWSP,Rufous-winged Sparrow
RCSP,Rufous-crowned Sparrow
SOSP,Song Sparrow
LISP,Lincolns Sparrow
SWSP,Swamp Sparrow
FOSP,Fox Sparrow
OLSP,Olive Sparrow
SAFI,Saffron Finch
EATO,Eastern Towhee
URST,Unidentified Rufous-sided Towhee
SPTO,Spotted Towhee
GTTO,Green-tailed Towhee
HYTO,Hybrid Towhee
CANT,Canyon Towhee
CALT,California Towhee
ICTO,Inyo California Towhee
ABTO,Aberts Towhee
RCCA,Red-crested Cardinal
YBCA,Yellow-billed Cardinal
NOCA,Northern Cardinal
PYRR,Pyrrhuloxia
RBGR,Rose-breasted Grosbeak
BHGR,Black-headed Grosbeak
YEGR,Yellow Grosbeak
BLGR,Blue Grosbeak
BLBU,Blue Bunting
INBU,Indigo Bunting
ILBH,Indigo X Lazuli Bunting Hybrid
LAZB,Lazuli Bunting
VABU,Varied Bunting
PABU,Painted Bunting
UWSE,Unidentified White-collared Seedeater
PUEB,Puerto Rican Bullfinch
LESB,Lesser Antillean Bullfinch
MOSE,Morelets Seedeater
CRSE,Cinnamon-rumped Seedeater
BFGR,Black-faced Grassquit
CUGR,Cuban Grassquit
YFGR,Yellow-faced Grassquit
DICK,Dickcissel
LARB,Lark Bunting
ANEU,Antillean Euphonia
WETA,Western Tanager
FCTA,Flame-colored Tanager
SCTA,Scarlet Tanager
HETA,Hepatic Tanager
SUTA,Summer Tanager
WESP,Western Spindalis
PRTA,Puerto Rican Tanager
HISP,Hispaniolan Spindalis
PRSP,Puerto Rican Spindalis
JAMS,Jamaican Spindalis
PUMA,Purple Martin
GBMA,Gray-breasted Martin
CAMA,Caribbean Martin
CLSW,Cliff Swallow
CASW,Cave Swallow
BARS,Barn Swallow
TRES,Tree Swallow
VGSW,Violet-green Swallow
BAHS,Bahama Swallow
BANS,Bank Swallow
NRWS,Northern Rough-winged Swallow
BOWA,Bohemian Waxwing
CEDW,Cedar Waxwing
PHAI,Phainopepla
NSHR,Northern Shrike
BRSH,Brown Shrike
LOSH,Loggerhead Shrike
KAOO,Kauai Oo
BIOO,Bishops Oo
WAWE,Warbling White-eye
SLSH,San Clemente Loggerhead Shrike
BWVI,Black-whiskered Vireo
REVI,Red-eyed Vireo
YGVI,Yellow-green Vireo
PHVI,Philadelphia Vireo
WAVI,Warbling Vireo
YTVI,Yellow-throated Vireo
BHVI,Blue-headed Vireo
PLVI,Plumbeous Vireo
CAVI,Cassins Vireo
SOVI,Solitary Vireo
BCVI,Black-capped Vireo
WEVI,White-eyed Vireo
HUVI,Huttons Vireo
BEVI,Bells Vireo
PRVI,Puerto Rican Vireo
LBVI,Least Bells Vireo
GRVI,Gray Vireo
BANA,Bananaquit
BAWW,Black-and-white Warbler
HYWA,Hybrid Warbler
PROW,Prothonotary Warbler
SWWA,Swainsons Warbler
CCWA,Crescent-chested Warbler
WEWA,Worm-eating Warbler
BWWA,Blue-winged Warbler
BRWA,Brewsters Warbler
LAWA,Lawrences Warbler
GBWH,Golden-winged x Blue-winged Warbler Hybrid
GWWA,Golden-winged Warbler
LUWA,Lucys Warbler
VIWA,Virginias Warbler
NAWA,Nashville Warbler
OCWA,Orange-crowned Warbler
TEWA,Tennessee Warbler
COLW,Colima Warbler
NOPA,Northern Parula
TRPA,Tropical Parula
CMWA,Cape May Warbler
OLWA,Olive Warbler
YEWA,Yellow Warbler
BTBW,Black-throated Blue Warbler
MYWA,Myrtle Warbler
UYRW,Unspecified Yellow-rumped Warbler
AUWA,Audubons Warbler
MAWA,Magnolia Warbler
CERW,Cerulean Warbler
EWWA,Elfin-woods Warbler
CSWA,Chestnut-sided Warbler
BBWA,Bay-breasted Warbler
BLPW,Blackpoll Warbler
BLBW,Blackburnian Warbler
YTWA,Yellow-throated Warbler
SUWA,Suttons Warbler
GRWA,Graces Warbler
ADWA,Adelaides Warbler
BARW,Barbuda Warbler
SLWA,St. Lucia Warbler
